Type                                  Module                      Label             Process     
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterECAL"   "PFClusterAssociationES"   "fullsim"   
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterOOTECAL"   "PFClusterAssociationES"   "fullsim"   
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "all"             "fullsim"   
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "fullsim"   
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "fullsim"   
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "fullsim"   
edm::ValueMap<edm::Ref<vector<reco::Muon>,reco::Muon,edm::refhelper::FindUsingAdvance<vector<reco::Muon>,reco::Muon> > >    "displacedMuons"            "displacedMuons1stStep2displacedMuonsMap"   "fullsim"   
edm::ValueMap<edm::Ref<vector<reco::Muon>,reco::Muon,edm::refhelper::FindUsingAdvance<vector<reco::Muon>,reco::Muon> > >    "muons"                     "muons1stStep2muonsMap"   "fullsim"   
edm::ValueMap<edm::Ref<vector<reco::Photon>,reco::Photon,edm::refhelper::FindUsingAdvance<vector<reco::Photon>,reco::Photon> > >    "gedPhotons"                "valMapPFEgammaCandToPhoton"   "fullsim"   
edm::ValueMap<edm::Ref<vector<reco::SuperCluster>,reco::SuperCluster,edm::refhelper::FindUsingAdvance<vector<reco::SuperCluster>,reco::SuperCluster> > >    "lowPtGsfElectronSuperClusters"   ""                "fullsim"   
edm::ValueMap<float>                  "lowPtGsfElectronID"        ""                "fullsim"   
edm::ValueMap<float>                  "offlinePrimaryVertices"    ""                "fullsim"   
edm::ValueMap<float>                  "offlinePrimaryVerticesWithBS"   ""                "fullsim"   
edm::ValueMap<int>                    "offlinePrimaryVertices"    ""                "fullsim"   
edm::ValueMap<int>                    "offlinePrimaryVerticesWithBS"   ""                "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "displacedMuons"            "ecal"            "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "muons"                     "ecal"            "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "displacedMuons"            "hcal"            "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "muons"                     "hcal"            "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "displacedMuons"            "ho"              "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "muons"                     "ho"              "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "muons"                     "muIsoDepositJets"   "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "displacedMuons"            "muIsoDepositJetsDisplaced"   "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "muons"                     "muIsoDepositTk"   "fullsim"   
edm::ValueMap<reco::IsoDeposit>       "displacedMuons"            "muIsoDepositTkDisplaced"   "fullsim"   
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "fullsim"   
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "fullsim"   
edm::ValueMap<reco::MuonTimeExtra>    "displacedMuons"            "combined"        "fullsim"   
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "fullsim"   
edm::ValueMap<reco::MuonTimeExtra>    "displacedMuons"            "csc"             "fullsim"   
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "fullsim"   
edm::ValueMap<reco::MuonTimeExtra>    "displacedMuons"            "dt"              "fullsim"   
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "fullsim"   
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedGsfElectrons"   "fullsim"   
